sample_id,cifar10_split,dataset_index,class_id,class_name
215,train,4542,3,cat
216,train,4529,5,dog
217,train,24506,5,dog
218,train,3388,5,dog
219,train,48910,5,dog
220,train,44745,3,cat
221,train,19864,3,cat
222,train,1836,6,frog
223,train,11887,0,airplane
224,train,27048,0,airplane
225,train,45096,0,airplane
226,train,15393,5,dog
227,train,42641,6,frog
228,train,33791,6,frog
229,train,25431,0,airplane
230,train,43142,5,dog
231,train,33411,6,frog
232,train,48867,3,cat
233,train,15779,1,automobile
234,train,7328,0,airplane
235,train,2435,0,airplane
236,train,45417,5,dog
237,train,20571,3,cat
238,train,8107,1,automobile
239,train,4100,1,automobile
240,train,17880,5,dog
241,train,31975,3,cat
242,train,10192,3,cat
243,train,12228,1,automobile
244,train,37275,6,frog
245,train,376,0,airplane
246,train,9022,6,frog
247,train,14514,6,frog
248,train,23390,6,frog
249,train,6790,3,cat
250,train,16635,3,cat
251,train,31402,3,cat
252,train,15315,1,automobile
253,train,38658,1,automobile
254,train,31325,6,frog
255,train,35971,6,frog
256,train,772,1,automobile
257,train,47191,6,frog
258,train,29704,0,airplane
259,train,12218,6,frog
260,train,44158,1,automobile
261,train,31633,3,cat
262,train,27238,1,automobile
263,train,9982,3,cat
264,train,34197,3,cat
265,train,20361,5,dog
266,train,30838,3,cat
267,train,41514,3,cat
268,train,40635,0,airplane
269,train,34935,5,dog
270,train,27991,5,dog
271,train,23849,5,dog
272,train,11153,5,dog
273,train,7213,3,cat
274,train,46010,5,dog
275,train,19878,0,airplane
276,train,15535,1,automobile
277,train,11367,1,automobile
278,train,19291,3,cat
279,train,4338,0,airplane
280,train,46230,3,cat
281,train,24193,3,cat
282,train,46731,1,automobile
283,train,45057,3,cat
284,train,37618,1,automobile
285,train,1120,3,cat
286,train,28367,6,frog
287,train,3528,6,frog
288,train,25281,3,cat
289,train,44077,6,frog
290,train,19559,6,frog
291,train,47955,1,automobile
292,train,27090,3,cat
293,train,27156,3,cat
294,train,1039,0,airplane
295,train,21064,0,airplane
296,train,49145,6,frog
297,train,15600,6,frog
298,train,8628,1,automobile
299,train,3918,0,airplane
300,train,35599,0,airplane
301,train,7196,0,airplane
302,train,7344,0,airplane
303,train,34083,0,airplane
304,train,41536,3,cat
305,train,29450,5,dog
306,train,10254,3,cat
307,train,44432,5,dog
308,train,36889,0,airplane
309,train,24404,0,airplane
310,train,2384,5,dog
311,train,45271,5,dog
312,train,23295,3,cat
313,train,5803,0,airplane
314,train,49582,3,cat
315,train,9817,3,cat
316,train,31319,1,automobile
317,train,36721,1,automobile
318,train,21948,3,cat
319,train,32206,0,airplane
320,train,47243,0,airplane
321,train,48897,6,frog
322,train,46811,5,dog
323,train,14124,0,airplane
324,train,6608,1,automobile
325,train,21015,3,cat
326,train,29411,5,dog
327,train,37917,6,frog
328,train,24649,6,frog
329,train,45631,3,cat
330,train,15236,0,airplane
331,train,30324,0,airplane
332,train,17514,0,airplane
333,train,28811,3,cat
334,train,49107,0,airplane
335,train,37914,5,dog
336,train,37967,3,cat
337,train,4391,6,frog
338,train,44191,3,cat
339,train,13661,3,cat
340,train,676,1,automobile
341,train,17828,3,cat
342,train,46990,0,airplane
343,train,32986,3,cat
344,train,8577,0,airplane
345,train,45821,1,automobile
346,train,45970,6,frog
347,train,8994,0,airplane
348,train,4605,6,frog
349,train,40920,6,frog
350,train,44441,5,dog
351,train,23992,3,cat
352,train,49909,6,frog
353,train,46003,1,automobile
354,train,30339,3,cat
355,train,29246,0,airplane
356,train,12290,5,dog
357,train,45083,5,dog
358,train,48373,6,frog
359,train,7476,5,dog
360,train,36853,1,automobile
361,train,20195,1,automobile
362,train,44993,1,automobile
363,train,35789,1,automobile
364,train,21567,3,cat
365,train,15456,1,automobile
366,train,10902,1,automobile
367,train,21809,5,dog
368,train,457,0,airplane
369,train,22067,1,automobile
370,train,13316,5,dog
371,train,46402,3,cat
372,train,35544,0,airplane
373,train,6883,3,cat
374,train,30867,5,dog
375,train,4799,3,cat
376,train,8691,5,dog
377,train,9381,6,frog
378,train,3457,3,cat
379,train,5645,5,dog
380,train,39409,0,airplane
381,train,24462,1,automobile
382,train,32864,5,dog
383,train,41752,5,dog
384,train,43174,6,frog
385,train,26027,0,airplane
386,train,22665,0,airplane
387,train,3410,5,dog
388,train,1539,3,cat
389,train,23044,5,dog
390,train,48789,6,frog
391,train,21962,3,cat
392,train,40987,1,automobile
393,train,42987,5,dog
394,train,15115,0,airplane
395,train,10049,1,automobile
396,train,34762,6,frog
397,train,6972,0,airplane
398,train,31837,0,airplane
399,train,1423,5,dog
400,train,46910,0,airplane
401,train,20816,0,airplane
402,train,25723,6,frog
403,train,41384,3,cat
404,train,16311,5,dog
405,train,49319,3,cat
406,train,12030,0,airplane
407,train,4739,1,automobile
408,train,24204,6,frog
409,train,29276,5,dog
410,train,24591,1,automobile
411,train,1849,5,dog
412,train,5014,1,automobile
413,train,44176,0,airplane
414,train,17565,3,cat
415,train,34496,3,cat
416,train,24724,6,frog
417,train,42806,3,cat
418,train,23039,5,dog
419,train,42492,3,cat
420,train,26689,3,cat
421,train,5722,1,automobile
422,train,17019,6,frog
423,train,46170,6,frog
424,train,7321,6,frog
425,train,3203,6,frog
426,train,6563,0,airplane
427,train,41067,1,automobile
428,train,11119,3,cat
429,train,26205,6,frog
430,train,14182,1,automobile
431,train,15023,6,frog
432,train,28921,0,airplane
433,train,14212,6,frog
434,train,25059,6,frog
435,train,43693,5,dog
436,train,43608,1,automobile
437,train,16964,1,automobile
438,train,10145,1,automobile
439,train,48230,6,frog
440,train,47761,1,automobile
441,train,45952,5,dog
442,train,2794,5,dog
443,train,21144,0,airplane
444,train,29382,5,dog
445,train,46614,0,airplane
446,train,8606,3,cat
447,train,5129,3,cat
448,train,7732,6,frog
449,train,48915,1,automobile
450,train,33724,1,automobile
451,train,9320,6,frog
452,train,11147,6,frog
453,train,21903,0,airplane
454,train,42448,1,automobile
455,train,30201,5,dog
456,train,45499,5,dog
457,train,24864,6,frog
458,train,15457,6,frog
459,train,43076,0,airplane
460,train,48097,3,cat
461,train,48926,0,airplane
462,train,31064,5,dog
463,train,49993,1,automobile
464,train,1604,1,automobile
465,train,20092,5,dog
466,train,1064,1,automobile
467,train,5636,6,frog
468,train,40764,3,cat
469,train,14264,3,cat
470,train,14534,0,airplane
471,train,7683,1,automobile
472,train,29716,1,automobile
473,train,17517,0,airplane
474,train,5649,0,airplane
475,train,11060,0,airplane
476,train,14210,0,airplane
477,train,23409,3,cat
478,train,2568,1,automobile
479,train,45319,3,cat
480,train,20619,1,automobile
481,train,48643,0,airplane
482,train,38860,5,dog
483,train,895,3,cat
484,train,9565,1,automobile
485,train,30698,5,dog
486,train,38338,3,cat
487,train,14257,6,frog
488,train,7883,0,airplane
489,train,20789,6,frog
490,train,35651,1,automobile
491,train,3703,3,cat
492,train,39452,6,frog
493,train,20541,6,frog
494,train,46550,6,frog
495,train,24616,1,automobile
496,train,32090,0,airplane
497,train,33781,0,airplane
498,train,20534,3,cat
499,train,24839,3,cat
500,train,11764,3,cat
501,train,45169,6,frog
502,train,6356,1,automobile
503,train,13894,0,airplane
504,train,17234,6,frog
505,train,46900,1,automobile
506,train,2745,5,dog
507,train,14579,5,dog
508,train,16687,6,frog
509,train,13858,1,automobile
510,train,29986,1,automobile
511,train,16768,6,frog
512,train,22445,5,dog
513,train,25352,0,airplane
514,train,16351,5,dog
515,train,19872,3,cat
516,train,4550,6,frog
517,train,44496,5,dog
518,train,48190,6,frog
519,train,21137,1,automobile
520,train,34313,0,airplane
521,train,43434,6,frog
522,train,20327,1,automobile
523,train,30041,6,frog
524,train,33179,0,airplane
525,train,8359,0,airplane
526,train,32228,6,frog
527,train,43697,6,frog
528,train,33101,3,cat
529,train,1886,5,dog
530,train,46277,0,airplane
531,train,3233,1,automobile
532,train,43468,5,dog
533,train,24344,5,dog
534,train,29103,6,frog
535,train,8538,6,frog
536,train,24206,1,automobile
537,train,6723,5,dog
538,train,37191,0,airplane
539,train,21193,3,cat
540,train,48843,5,dog
541,train,13594,0,airplane
542,train,15945,6,frog
543,train,46842,5,dog
544,train,11246,6,frog
545,train,43195,1,automobile
546,train,44426,0,airplane
547,train,18087,5,dog
548,train,40814,1,automobile
549,train,10790,1,automobile
550,train,1627,6,frog
551,train,7060,0,airplane
552,train,39551,5,dog
553,train,17694,1,automobile
554,train,6104,5,dog
555,train,15861,5,dog
556,train,21921,3,cat
557,train,21061,5,dog
558,train,41638,5,dog
559,train,24779,3,cat
560,train,9118,1,automobile
561,train,48795,6,frog
562,train,21752,1,automobile
563,train,1124,3,cat
564,train,1086,0,airplane
565,train,19616,1,automobile
566,train,8181,1,automobile
567,train,44343,5,dog
568,train,2455,1,automobile
569,train,14340,3,cat
570,train,28896,1,automobile
571,train,48753,6,frog
572,train,6162,3,cat
573,train,21022,3,cat
574,train,6689,5,dog
575,train,29230,1,automobile
576,train,15048,6,frog
577,train,18389,3,cat
578,train,33426,1,automobile
579,train,10020,0,airplane
580,train,17740,5,dog
581,train,42001,5,dog
582,train,10782,0,airplane
583,train,20865,1,automobile
584,train,31502,1,automobile
585,train,47653,6,frog
586,train,10133,1,automobile
587,train,4145,1,automobile
588,train,33091,6,frog
589,train,27677,5,dog
590,train,30929,0,airplane
591,train,27486,6,frog
592,train,8183,3,cat
593,train,29767,6,frog
594,train,9275,6,frog
595,train,1848,5,dog
596,train,25903,5,dog
597,train,11602,6,frog
598,train,43812,3,cat
599,train,26994,1,automobile
600,train,7643,0,airplane
601,train,18089,3,cat
602,train,11537,6,frog
603,train,16998,6,frog
604,train,16380,0,airplane
605,train,25218,3,cat
606,train,29174,0,airplane
607,train,2562,3,cat
608,train,23051,6,frog
609,train,18082,5,dog
610,train,19234,3,cat
611,train,11041,6,frog
612,train,22286,0,airplane
613,train,26815,0,airplane
614,train,37117,3,cat
615,train,41671,6,frog
616,train,40717,5,dog
617,train,332,0,airplane
618,train,18250,6,frog
619,train,23702,3,cat
620,train,15318,0,airplane
621,train,46729,3,cat
622,train,37134,6,frog
623,train,5738,0,airplane
624,train,14817,3,cat
625,train,4373,0,airplane
626,train,4657,3,cat
627,train,1021,1,automobile
628,train,45728,5,dog
629,train,210,6,frog
630,train,5113,3,cat
631,train,20824,0,airplane
632,train,34011,3,cat
633,train,12573,5,dog
634,train,38431,0,airplane
635,train,45534,6,frog
636,train,7202,6,frog
637,train,31440,3,cat
638,train,5089,0,airplane
639,train,9129,3,cat
640,train,38997,5,dog
641,train,7915,1,automobile
642,train,8935,5,dog
643,train,47033,1,automobile
644,train,23789,1,automobile
645,train,31607,1,automobile
646,train,16554,0,airplane
647,train,38552,3,cat
648,train,24666,3,cat
649,train,13750,3,cat
650,train,40870,3,cat
651,train,35927,0,airplane
652,train,24339,5,dog
653,train,1950,0,airplane
654,train,36472,6,frog
655,train,25290,0,airplane
656,train,22500,1,automobile
657,train,5627,1,automobile
658,train,8013,3,cat
659,train,17562,6,frog
660,train,17426,6,frog
661,train,42787,3,cat
662,train,49923,6,frog
663,train,34265,6,frog
664,train,4599,0,airplane
665,train,47365,1,automobile
666,train,7355,3,cat
667,train,25940,6,frog
668,train,42559,0,airplane
669,train,22321,5,dog
670,train,2268,1,automobile
671,train,5912,6,frog
672,train,6425,0,airplane
673,train,2657,5,dog
674,train,36899,5,dog
675,train,23959,1,automobile
676,train,47220,0,airplane
677,train,12169,1,automobile
678,train,41863,0,airplane
679,train,28824,3,cat
680,train,12170,1,automobile
681,train,30723,5,dog
682,train,12079,0,airplane
683,train,9295,5,dog
684,train,15814,1,automobile
685,train,20494,1,automobile
686,train,401,0,airplane
687,train,48062,3,cat
688,train,1969,3,cat
689,train,23439,1,automobile
690,train,46602,6,frog
691,train,15612,6,frog
692,train,3964,0,airplane
693,train,39396,0,airplane
694,train,34856,0,airplane
695,train,49472,5,dog
696,train,3051,0,airplane
697,train,1271,3,cat
698,train,14654,0,airplane
699,train,33926,0,airplane
700,train,2051,3,cat
701,train,7540,1,automobile
702,train,5879,6,frog
703,train,32318,0,airplane
704,train,41232,5,dog
705,train,22337,6,frog
706,train,46936,0,airplane
707,train,26705,5,dog
708,train,38355,6,frog
709,train,1599,1,automobile
710,train,4417,6,frog
711,train,19222,5,dog
712,train,25214,3,cat
713,train,36107,1,automobile
714,train,22991,0,airplane
715,train,45187,1,automobile
716,train,33375,3,cat
717,train,34075,6,frog
718,train,43922,3,cat
719,train,29459,5,dog
720,train,10815,6,frog
721,train,4152,6,frog
722,train,5008,3,cat
723,train,47839,1,automobile
724,train,43288,0,airplane
725,train,40427,1,automobile
726,train,19187,3,cat
727,train,31880,0,airplane
728,train,33601,3,cat
729,train,44773,0,airplane
730,train,6276,0,airplane
731,train,19506,5,dog
732,train,42946,5,dog
733,train,25275,0,airplane
734,train,41435,0,airplane
735,train,31776,1,automobile
736,train,8842,0,airplane
737,train,35528,0,airplane
738,train,18527,1,automobile
739,train,46458,0,airplane
740,train,27920,3,cat
741,train,48454,5,dog
742,train,39793,0,airplane
743,train,4206,1,automobile
744,train,5028,0,airplane
745,train,8584,5,dog
746,train,48898,1,automobile
747,train,20329,3,cat
748,train,22787,6,frog
749,train,1629,0,airplane
750,train,30610,6,frog
751,train,2939,6,frog
752,train,43194,0,airplane
753,train,9534,1,automobile
754,train,14549,1,automobile
755,train,3152,5,dog
756,train,11822,1,automobile
757,train,33670,0,airplane
758,train,17611,5,dog
759,train,31450,0,airplane
760,train,8989,5,dog
761,train,44276,3,cat
762,train,8291,5,dog
763,train,39875,0,airplane
764,train,9706,6,frog
765,train,24690,0,airplane
766,train,48610,1,automobile
767,train,41146,0,airplane
768,train,37007,1,automobile
769,train,46,1,automobile
770,train,45511,5,dog
771,train,42865,3,cat
772,train,42838,5,dog
773,train,25974,1,automobile
774,train,36623,0,airplane
775,train,13518,3,cat
776,train,41421,3,cat
777,train,36087,3,cat
778,train,40889,5,dog
779,train,42801,3,cat
780,train,6246,6,frog
781,train,9212,5,dog
782,train,29547,6,frog
783,train,26971,5,dog
784,train,9892,3,cat
785,train,25167,0,airplane
786,train,45186,0,airplane
787,train,35455,6,frog
788,train,49462,6,frog
789,train,28595,5,dog
790,train,11109,1,automobile
791,train,38428,6,frog
792,train,25008,3,cat
793,train,21397,1,automobile
794,train,11182,6,frog
795,train,15749,1,automobile
796,train,35103,6,frog
797,train,20680,1,automobile
798,train,18494,6,frog
799,train,17118,6,frog
800,train,40905,5,dog
801,train,40997,5,dog
802,train,11740,5,dog
803,train,20891,0,airplane
804,train,46756,0,airplane
805,train,25546,0,airplane
806,train,49316,5,dog
807,train,40749,1,automobile
808,train,28736,5,dog
809,train,38447,5,dog
810,train,40928,0,airplane
811,train,49466,3,cat
812,train,351,6,frog
813,train,42475,1,automobile
814,train,23097,6,frog
815,train,34678,6,frog
816,train,30063,5,dog
817,train,46604,3,cat
818,train,16235,0,airplane
819,train,42846,5,dog
820,train,3106,6,frog
821,train,45897,3,cat
822,train,26290,1,automobile
823,train,5411,5,dog
824,train,49364,6,frog
825,train,43153,5,dog
826,train,255,1,automobile
827,train,16403,5,dog
828,train,16397,0,airplane
829,train,4850,5,dog
830,train,43133,5,dog
831,train,28178,0,airplane
832,train,39225,5,dog
833,train,48908,0,airplane
834,train,47564,1,automobile
835,train,18680,0,airplane
836,train,15333,0,airplane
837,train,34949,0,airplane
838,train,34326,6,frog
839,train,16017,1,automobile
840,train,13902,0,airplane
841,train,47394,3,cat
842,train,38039,0,airplane
843,train,3286,3,cat
844,train,6754,6,frog
845,train,3551,3,cat
846,train,13537,6,frog
847,train,3034,1,automobile
848,train,13611,6,frog
849,train,47096,6,frog
850,train,33738,6,frog
851,train,49155,5,dog
852,train,32410,1,automobile
853,train,18119,3,cat
854,train,23104,3,cat
855,train,47906,0,airplane
856,train,27512,1,automobile
857,train,27460,0,airplane
858,train,31457,6,frog
859,train,34926,6,frog
860,train,25522,5,dog
861,train,40518,1,automobile
862,train,15371,5,dog
863,train,8383,0,airplane
864,train,46303,0,airplane
865,train,45438,0,airplane
866,train,3748,5,dog
867,train,38285,0,airplane
868,train,4350,3,cat
869,train,22664,3,cat
870,train,10869,3,cat
871,train,33345,3,cat
872,train,25209,1,automobile
873,train,17821,3,cat
874,train,25150,1,automobile
875,train,1455,1,automobile
876,train,48636,1,automobile
877,train,10854,3,cat
878,train,39889,6,frog
879,train,26482,3,cat
880,train,8684,5,dog
881,train,11487,0,airplane
882,train,25882,3,cat
883,train,33551,6,frog
884,train,35246,3,cat
885,train,16168,5,dog
886,train,28171,6,frog
887,train,36816,6,frog
888,train,22092,6,frog
889,train,16855,1,automobile
890,train,41709,6,frog
891,train,42056,3,cat
892,train,242,6,frog
893,train,42201,0,airplane
894,train,18004,5,dog
895,train,25550,5,dog
896,train,24792,0,airplane
897,train,40294,0,airplane
898,train,14964,1,automobile
899,train,37456,0,airplane
900,train,49996,6,frog
901,train,6507,3,cat
902,train,15670,1,automobile
903,train,49307,6,frog
904,train,18406,0,airplane
905,train,47477,5,dog
906,train,14622,6,frog
907,train,15044,0,airplane
908,train,17144,3,cat
909,train,10690,0,airplane
910,train,8009,6,frog
911,train,33041,3,cat
912,train,28277,6,frog
913,train,25704,6,frog
914,train,32758,5,dog
915,train,20043,5,dog
916,train,4699,5,dog
917,train,37317,5,dog
918,train,45402,3,cat
919,train,22396,1,automobile
920,train,11672,6,frog
921,train,32576,5,dog
922,train,11317,5,dog
923,train,24571,3,cat
924,train,19631,3,cat
925,train,39940,1,automobile
926,train,44214,5,dog
927,train,17432,0,airplane
928,train,10946,6,frog
929,train,36121,5,dog
930,train,3678,1,automobile
931,train,25563,3,cat
932,train,48644,1,automobile
933,train,26005,3,cat
934,train,49992,0,airplane
935,train,19792,1,automobile
936,train,41844,1,automobile
937,train,44827,1,automobile
938,train,49080,1,automobile
939,train,48495,5,dog
940,train,21156,3,cat
941,train,5907,6,frog
942,train,42498,1,automobile
943,train,44650,6,frog
944,train,2588,1,automobile
945,train,49301,5,dog
946,train,40878,5,dog
947,train,23514,1,automobile
948,train,14443,6,frog
949,train,29946,5,dog
950,train,24622,0,airplane
951,train,26025,6,frog
952,train,19699,1,automobile
953,train,23806,1,automobile
954,train,3683,6,frog
955,train,28629,5,dog
956,train,44671,1,automobile
957,train,31951,1,automobile
958,train,39474,1,automobile
959,train,5380,6,frog
961,train,18202,5,dog
963,train,2005,1,automobile
964,train,8540,1,automobile
968,train,49644,5,dog
969,train,34379,3,cat
970,train,30202,6,frog
973,train,30471,1,automobile
975,train,30189,5,dog
976,train,45831,5,dog
977,train,2565,3,cat
978,train,27943,5,dog
979,train,20263,6,frog
980,train,23494,5,dog
982,train,21,3,cat
984,train,7448,1,automobile
985,train,18945,5,dog
986,train,8033,6,frog
988,train,24899,5,dog
990,train,11103,3,cat
993,train,12906,6,frog
994,train,32978,5,dog
995,train,22613,5,dog
996,train,28773,3,cat
997,train,7427,3,cat
998,train,45310,3,cat
999,train,2674,6,frog
1000,train,18971,5,dog
1002,train,4685,6,frog
1004,train,29432,5,dog
1011,train,17672,3,cat
1018,train,41094,5,dog
1021,train,48817,5,dog
1026,train,5072,3,cat
1029,train,24490,3,cat
1031,train,46035,5,dog
1034,train,38503,5,dog
1040,train,26613,3,cat
1051,train,41213,3,cat
1052,train,2168,3,cat
1056,train,9842,3,cat
